module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
mkt,4-execution,Form CRO,FC,30,skills/bmad-mkt/workflows/4-execution/form-cro/workflow.yaml,bmad-mkt-form-cro,false,content-channels-lead,,"Lead capture contact and demo request form optimization",output_folder,"Form optimization"
mkt,4-execution,Onboarding CRO,OC,31,skills/bmad-mkt/workflows/4-execution/onboarding-cro/workflow.yaml,bmad-mkt-onboarding-cro,false,content-channels-lead,,"Post-signup activation first-run experience and TTV",output_folder,"Onboarding plan"
mkt,4-execution,Popup CRO,PC,32,skills/bmad-mkt/workflows/4-execution/popup-cro/workflow.yaml,bmad-mkt-popup-cro,false,content-channels-lead,,"Popup modal and overlay conversion optimization",output_folder,"Popup strategy"
mkt,4-execution,Paywall Upgrade CRO,PU,33,skills/bmad-mkt/workflows/4-execution/paywall-upgrade-cro/workflow.yaml,bmad-mkt-paywall-upgrade-cro,false,content-channels-lead,,"In-app paywalls upgrade screens and feature gates",output_folder,"Paywall design"
mkt,5-growth,Page CRO,MCR,34,skills/bmad-mkt/workflows/5-growth/page-cro/workflow.yaml,bmad-mkt-page-cro,false,growth-engineer,,"Landing page and homepage conversion optimization",output_folder,"CRO recommendations"
mkt,5-growth,A/B Test Setup,AB,35,skills/bmad-mkt/workflows/5-growth/ab-test-setup/workflow.yaml,bmad-mkt-ab-test-setup,false,growth-engineer,,"A/B test design hypothesis and statistical planning",output_folder,"Test plan"
mkt,5-growth,Referral Program,RP,36,skills/bmad-mkt/workflows/5-growth/referral-program/workflow.yaml,bmad-mkt-referral-program,false,growth-engineer,,"Referral and affiliate program design",output_folder,"Referral design"
mkt,5-growth,Free Tool Strategy,FT,37,skills/bmad-mkt/workflows/5-growth/free-tool-strategy/workflow.yaml,bmad-mkt-free-tool-strategy,false,growth-engineer,,"Engineering-as-marketing free tools for lead gen",output_folder,"Tool strategy"
mkt,5-growth,RevOps,RO,38,skills/bmad-mkt/workflows/5-growth/revops/workflow.yaml,bmad-mkt-revops,false,growth-engineer,,"Revenue operations lead lifecycle MQL/SQL handoff",output_folder,"RevOps design"
mkt,5-growth,Sales Enablement,SE,39,skills/bmad-mkt/workflows/5-growth/sales-enablement/workflow.yaml,bmad-mkt-sales-enablement,false,growth-engineer,,"Sales decks one-pagers objection handling demo scripts",output_folder,"Sales materials"
mkt,5-growth,SEO Competitor Pages,MCP,40,skills/bmad-mkt/workflows/5-growth/seo-competitor-pages/workflow.yaml,bmad-mkt-seo-competitor-pages,false,content-channels-lead,,"Competitor comparison and alternative pages",output_folder,"Comparison pages"
mkt,6-retention,Churn Prevention,CH,41,skills/bmad-mkt/workflows/6-retention/churn-prevention/workflow.yaml,bmad-mkt-churn-prevention,false,growth-engineer,,"Cancel flows save offers dunning and win-back",output_folder,"Retention strategy"
mkt,orchestration,GTM Planning,GP,42,skills/bmad-mkt/workflows/orchestration/gtm-planning/workflow.yaml,bmad-mkt-gtm-planning,false,marketing-strategist,,"Go-to-market coordination cross-agent",output_folder,"GTM plan"
mkt,orchestration,Growth Audit,GA,43,skills/bmad-mkt/workflows/orchestration/growth-audit/workflow.yaml,bmad-mkt-growth-audit,false,growth-engineer,,"Full marketing audit what is working what is not",output_folder,"Audit report"
mkt,orchestration,Campaign Sprint,MCM,44,skills/bmad-mkt/workflows/orchestration/campaign-sprint/workflow.yaml,bmad-mkt-campaign-sprint,false,content-channels-lead,,"Time-boxed campaign execution with measurement",output_folder,"Sprint plan"
